section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,92,1763649041833282748,1763649041913407748,80,895.549,228.343,6.693427189142618,23.26323582892023
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,93,1763649041938404748,1763649042268777748,330,865.824,362.828,4.520038353370028,14.679604275654286
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,94,1763649042388777748,1763649042539041748,150,877.839,360.376,5.315050133478485,14.830048969699284
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,95,1763649042659026748,1763649042809275748,150,880.218,434.966,5.4120596672613335,10.033752340538772
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,96,1763649042939399748,1763649043114524748,175,888.326,523.354,5.897844626954375,4.332188331815335
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,97,1763649043164527748,1763649043359773748,195,866.144,435.916,4.492989782722205,9.978291222638955
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,98,1763649043419772748,1763649043620022748,200,594.859,384.157,-13.306275122723969,13.19033112422676
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,99,1763649043680022748,1763649043835149748,155,893.138,367.102,6.317039630572456,14.388165736358742
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,100,1763649044035395748,1763649044135399748,100,866.773,397.648,4.556915694471238,12.441341536850036
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,101,1763649044170519748,1763649044460768748,290,849.019,480.048,3.3604790944410174,7.136765531167385
